BirdtreeFormat,Family,O.C,Final.polygyny,Final.EPP,Syllable.rep.final,Syll.song.final,Song.rep.final,Duration.final,Interval.final,Song.rate,Continuity,EPPSourcedata
Carpodacus_mexicanus,Fringillidae,NA,0,1,NA,NA,NA,NA,NA,8.823529412,NA,NA
Phylloscopus_collybita,Phylloscopidae,NA,1,NA,NA,NA,NA,NA,NA,8.955223881,NA,NA
Sylvia_boehmi,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,9.230769231,NA,NA
Vermivora_peregrina,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,9.273570325,NA,NA
Setophaga_ruticilla,Parulidae,NA,0,1,NA,NA,NA,NA,NA,9.693053312,NA,NA
Emberiza_schoeniclus,Emberizidae,NA,0,1,NA,NA,NA,NA,NA,10,NA,NA
Dendroica_castanea,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,10.03344482,NA,NA
Junco_hyemalis,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,10.16949153,NA,NA
Pycnonotus_barbatus,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,10.16949153,NA,NA
Dendroica_fusca,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,10.22146508,NA,NA
Wilsonia_canadensis,Parulidae,NA,NA,1,NA,NA,NA,NA,NA,10.54481547,NA,NA
Passerina_leclancherii,Cardinalidae,NA,NA,NA,NA,NA,NA,NA,NA,10.69518717,NA,NA
Erithacus_rubecula,Muscicapidae,NA,0,1,NA,NA,NA,NA,NA,11.00917431,NA,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,11.11111111,NA,NA
Sylvia_borin,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,11.32075472,NA,NA
Acrocephalus_palustris,Acrocephalidae,NA,1,0,NA,NA,NA,NA,NA,11.42857143,NA,NA
Thryothorus_ludovicianus,Troglodytidae,NA,0,0,NA,NA,NA,NA,NA,11.47227533,NA,NA
Pipilo_erythrophthalmus,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,11.49425287,NA,NA
Wilsonia_pusilla,Parulidae,NA,0,1,NA,NA,NA,NA,NA,11.53846154,NA,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,NA,NA,NA,NA,11.95219124,NA,NA
Parus_palustris,Paridae,NA,0,NA,NA,NA,NA,NA,NA,12,NA,NA
Salpinctes_obsoletus,Troglodytidae,NA,0,NA,NA,NA,NA,NA,NA,12,NA,NA
Turdus_merula,Turdidae,NA,0,1,NA,NA,NA,NA,NA,12.12121212,NA,NA
Hylocichla_mustelina,Turdidae,NA,0,1,NA,NA,NA,NA,NA,13.10043668,NA,NA
Turdus_migratorius,Turdidae,NA,0,1,NA,NA,NA,NA,NA,14.25178147,NA,NA
Parus_carolinensis,Paridae,NA,0,1,NA,NA,NA,NA,NA,14.28571429,NA,NA
Mimus_polyglottos,Mimidae,NA,0,0,NA,NA,NA,NA,NA,14.42307692,NA,NA
Vireo_griseus,Vireonidae,NA,0,NA,NA,NA,NA,NA,NA,15,NA,NA
Passerina_versicolor,Cardinalidae,NA,NA,NA,NA,NA,NA,NA,NA,16.21621622,NA,NA
Cistothorus_platensis,Troglodytidae,NA,1,NA,NA,NA,NA,NA,NA,16.66666667,NA,NA
Baeolophus_inornatus,Paridae,NA,0,NA,NA,NA,NA,NA,NA,17.14285714,NA,NA
Vireo_flavifrons,Vireonidae,NA,0,NA,NA,NA,NA,NA,NA,21.42857143,NA,NA
Vireo_philadelphicus,Vireonidae,NA,0,NA,NA,NA,NA,NA,NA,22.64150943,NA,NA
Vireo_solitarius,Vireonidae,NA,0,0,NA,NA,NA,NA,NA,22.72727273,NA,NA
Cisticola_juncidis,Cisticolidae,NA,1,NA,NA,NA,NA,NA,NA,23.07692308,NA,NA
Synallaxis_zimmeri,Furnariidae,NA,0,NA,NA,NA,NA,NA,NA,24,NA,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,NA,NA,NA,25,NA,NA
Vireo_olivaceus,Vireonidae,NA,0,1,NA,NA,NA,NA,NA,28.1030445,NA,NA
Sayornis_phoebe,Tyrannidae,NA,0,1,NA,NA,NA,NA,NA,28.57142857,NA,NA
Turdus_viscivorus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,28.57142857,NA,NA
Vireo_altiloquus,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,28.84615385,NA,NA
Amphispiza_bilineata,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,30,NA,NA
Vireo_huttoni,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,32.78688525,NA,NA
Synallaxis_brachyura,Furnariidae,NA,0,NA,NA,NA,NA,NA,NA,33.33333333,NA,NA
Mirafra_africana,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,37.5,NA,NA
Vireo_vicinior,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA
Turdus_philomelos,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA
Vireo_flavoviridis,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,41.09589041,NA,NA
Toxostoma_rufum,Mimidae,NA,0,NA,NA,NA,NA,NA,NA,42.19409283,NA,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
